word,pos,score
반짝거리다,Verb,0.325
일정하다,Adjective,0.25
힘없다,Adjective,-0.525
겨루다,Verb,0.225
안이하다,Adjective,-0.375
뻥까다,Verb,-0.222222222
탁하다,Adjective,-0.4
숨다,Verb,-0.2
푹신하다,Adjective,0.525
솟아오르다,Verb,0.275
앓다,Verb,-0.175
시큰하다,Adjective,-0.075
기발하다,Adjective,0.475
탄탄하다,Adjective,0.525
우유부단하다,Adjective,-0.325
빠져나오다,Verb,0.15
꾸다,Verb,0.15
잡아먹다,Verb,-0.35
한심하다,Adjective,-0.45
싸매다,Verb,0.025
비다,Verb,-0.275
올바르다,Adjective,0.5
씰룩거리다,Verb,-0.025
친절하다,Adjective,0.8
겸손하다,Adjective,0.6
크다,Verb,0.3
완고하다,Adjective,-0.05
울먹이다,Verb,-0.275
느릿하다,Adjective,-0.375
특수하다,Adjective,0.075
명확하다,Adjective,0.525
꼬부리다,Verb,-0.222222222
가녀리다,Adjective,0.075
시무룩하다,Adjective,-0.4
더듬다,Verb,-0.375
길들다,Verb,0.225
창피하다,Adjective,-0.175
들려주다,Verb,0.275
깔리다,Verb,-0.3
많아지다,Verb,0.475
떠내다,Verb,0.125
멀다,Adjective,-0.075
저급하다,Adjective,-0.325
끌리다,Verb,0.15
뚱하다,Adjective,-0.325
피터지다,Adjective,-0.4
넓다,Adjective,0.225
킬킬거리다,Verb,-0.35
서럽다,Verb,-0.416666667
궁금하다,Adjective,0.3
마르다,Adjective,-0.125
바삭바삭하다,Verb,0.375
상심하다,Verb,-0.525
어울리다,Verb,0.525
명랑하다,Adjective,0.675
반기다,Verb,0.575
손쉽다,Adjective,0.325
정갈하다,Adjective,0.375
잘라먹다,Verb,-0.175
미묘하다,Adjective,0.025
볼메다,Adjective,-0.025
끼다,Verb,-0.175
스며들다,Verb,0.3
쭈그러뜨리다,Verb,-0.166666667
자유분방하다,Adjective,0.55
아득하다,Adjective,0.075
서운하다,Adjective,-0.35
꾸리다,Verb,0.275
치우치다,Verb,-0.275
바닥나다,Verb,-0.225
깜찍하다,Adjective,0.425
비열하다,Adjective,-0.475
전부하다,Adjective,0.075
애틋하다,Adjective,0.325
후비다,Verb,-0.175
난데없다,Adjective,-0.3
세련되다,Adjective,0.575
씬나다,Adjective,0.525
엄숙하다,Adjective,0.05
손꼽다,Verb,0.4
굵다,Adjective,0.075
위험하다,Adjective,-0.55
만지작대다,Verb,-0.055555556
윈윈하다,Verb,0.3
창궐하다,Verb,0.05
구부정하다,Adjective,-0.25
옹졸하다,Adjective,-0.325
깨닫다,Verb,0.525
몰아치다,Verb,0.05
지겹다,Adjective,-0.275
용이하다,Adjective,0.45
깨지다,Verb,-0.375
헤집다,Verb,-0.15
깔보다,Verb,-0.4
순수하다,Adjective,0.625
간편하다,Adjective,0.575
없다,Adjective,-0.475
새침하다,Adjective,0.075
